protocol,domain_name,address,long_url,having_@_symbol,redirection_//_symbol,prefix_suffix_seperation,sub_domains,having_ip_address,shortening_service,https_token,abnormal_url,web_traffic,domain_registration_length,age_of_domain,dns_record,statistical_report
http,www.ringjohn.com,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,riseinteractive.com,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.group41.com,,0,0,0,0,0,0,0,1,1,1,1,1,1,1
http,www.sagerock.com,,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,www.submit-url.net,,0,0,0,1,0,0,0,1,1,1,1,1,1,1
http,www.searchengineer.co.uk,,0,0,0,0,2,0,0,1,1,1,1,1,1,0
http,www.submission-pro.com,,0,0,0,1,0,0,0,1,1,1,1,1,1,0
http,www.searchenginedesign.com,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.submit-pro.com,,0,0,0,1,0,0,0,1,1,1,1,1,1,0
http,www.sixtop.co.uk,,0,0,0,0,2,0,0,1,1,1,1,1,1,0
